drug_name,indication_name
paliperidone,acute coronary syndrome
gabapentin,fatigue
fluconazole,neutropenia
trovafloxacin,abdominal infection
etodolac,osteoarthritis
clindamycin,pelvic inflammatory disease
anthracycline,non-hodgkin's lymphoma
deferasirox,anaemia
hydroxyurea,ovarian epithelial cancer
citalopram,mental disability
naproxen,bursitis
risperidone,dementia alzheimer's type
bupivacaine,atrioventricular block
sertraline,paraesthesia
zoledronic,blood creatinine increased
cortisol,rheumatic heart disease
phenytoin,hepatocellular injury
citalopram,obsessive-compulsive personality disorder
diclofenac,polyuria
sertraline,convulsion
ribavirin,fibrosis
atenolol,arrhythmia
estradiol,acute coronary syndrome
chloramphenicol,infection
cefditoren,infection
nifedipine,vascular resistance systemic
carboplatin,ewing's sarcoma
l-dmp,emotional distress
gatifloxacin,gonorrhoea
testosterone,dermatitis contact
monomycin,pertussis
valproate,convulsion
cortisone,stevens-johnson syndrome
triamcinolone,haemolytic anaemia
citalopram,feeling guilty
rabeprazole,regurgitation
letrozole,breast cancer
sertraline,nausea
minocycline,necrotising ulcerative gingivostomatitis
penicillin,meningitis
estradiol,pollakiuria
sotalol,ventricular tachycardia
buspirone,blepharospasm
lansoprazole,barrett's oesophagus
hydrochlorothiazide,discomfort
diatrizoate,infarction
paroxetine,nausea
zalcitabine,disease progression
moxifloxacin,sinusitis bacterial
trimethoprim-sulfamethoxazole,toxoplasmosis
doxepin,sleep disorder
pge2,cardiovascular disorder
medroxyprogesterone,liver disorder
ziprasidone,rash
cortisol,loeffler's syndrome
lisinopril,angioedema
oxaliplatin,dizziness
carboplatin,anaphylactic shock
ciprofloxacin,bacterial prostatitis
danazol,hereditary angioedema
roxithromycin,renal failure
everolimus,metastatic renal cell carcinoma
doxycycline,papule
k779,hepatitis b
dalteparin,electrocardiogram st segment elevation
doxorubicin,nephroblastoma
medroxyprogesterone,pelvic pain
oxaliplatin,leukopenia
insulin,dehydration
prednisone,intracranial pressure increased
prednisone,convulsion
ofloxacin,mental disorder
acitretin,headache
methotrexate,juvenile idiopathic arthritis
ramipril,angioedema
zonisamide,epilepsy
duloxetine,urethral disorder
adenosine,electrocardiogram qrs complex
mirtazapine,cardiac disorder
mirtazapine,decreased interest
cisplatin,ovarian cancer
dexamethasone,lichen planus
fentanyl,polymenorrhoea
atenolol,diabetes mellitus
methylphenidate,agitation
paroxetine,panic disorder
disopyramide,cardiac disorder
diltiazem,diabetes mellitus
vemurafenib,obesity
iodixanol,urinary tract obstruction
lamivudine,hepatitis chronic active
gadopentetate,neoplasm
methylprednisolone,neurodermatitis
alprazolam,agitation
sildenafil,connective tissue disorder
bleomycin,lymphoma
insulin,thirst
rosuvastatin,hypercholesterolaemia
risperidone,bipolar i disorder
valproate,thrombocytopenia
prednisolone,azotaemia
terazosin,diabetes mellitus
treprostinil,portopulmonary hypertension
carboplatin,malignant melanoma
ketoprofen,contusion
doxazosin,diabetes mellitus
doxazosin,neurogenic bladder
pamidronate,hypercalcaemia of malignancy
posaconazole,mycetoma mycotic
octreotide,fatigue
irbesartan,blood magnesium decreased
cimetidine,pain
ketoprofen,ankylosing spondylitis
citalopram,vascular dementia
isosorbide-5-mononitrate,coronary artery disease
insulin,hyperglycaemia
carboplatin,renal failure
clopidogrel,haemoglobin
fexofenadine,nasopharyngitis
ziprasidone,breast cancer
itraconazole,lung disorder
salmon,poisoning
azithromycin,malaise
prazosin,hyperlipidaemia
citalopram,tension
risperidone,hallucination
famotidine,erosive oesophagitis
