drug_name,indication_name
enfuvirtide,pneumonia
cefoxitin,endocarditis
carnitine,hypoglycaemia
morphine,myocardial infarction
ibuprofen,muscle spasms
demeclocycline,body temperature increased
betaxolol,open angle glaucoma
triamcinolone,asthma
amlodipine,chronic obstructive pulmonary disease
atropine,parkinsonism
fluoxetine,renal impairment
cortisol,rhinitis perennial
cortisol,bursitis
sildenafil,hypertension
k779,leukaemia
midazolam,epilepsy
fluoxetine,fatigue
acyclovir,pregnancy
tiagabine,convulsion
cyclophosphamide,plasmacytoma
metronidazole,genital infection female
colesevelam,diabetes mellitus
triamcinolone,gastrointestinal disorder
flecainide,wolff-parkinson-white syndrome
lansoprazole,gastrooesophageal reflux disease
metoclopramide,post procedural diarrhoea
histrelin,precocious puberty
aripiprazole,autism
diclofenac,biliary colic
moxifloxacin,salpingitis
mitoxantrone,breast cancer
quetiapine,bipolar disorder
cisplatin,choriocarcinoma
alprazolam,loss of consciousness
imatinib,renal failure
pravastatin,angina pectoris
irinotecan,lung neoplasm malignant
fosinopril,proteinuria
venlafaxine,menopausal symptoms
moxifloxacin,conjunctivitis bacterial
citalopram,cerebrovascular disorder
oseltamivir,headache
ogen,headache
ketorolac,ulcer
doxorubicin,endometrial cancer
valsartan,nephropathy
alendronate,multiple fractures
ciclesonide,rhinitis seasonal
clopidogrel,atrial fibrillation
dextran,gastrointestinal haemorrhage
dexamethasone,oedema
acitretin,lymphoma
demethyl,anaemia
voriconazole,hypokalaemia
eslicarbazepine,infection
nandrolone,renal failure chronic
citalopram,fasting
benzathine,seasonal allergy
acitretin,keratosis follicular
famciclovir,herpes zoster
fentanyl,analgesic therapy
foscarnet,immunodeficiency
azithromycin,hepatic function abnormal
prednisone,nervous system disorder
triamcinolone,endocrine disorder
raloxifene,hip fracture
ciprofloxacin,bacteraemia
lidocaine,vulvovaginal pruritus
capecitabine,neoplasm malignant
levonorgestrel,breast feeding
phenobarbital,insomnia
fentanyl,drug dependence
doxycycline,acne
nadolol,hypotension
oxaliplatin,colon cancer stage iii
emtricitabine,renal impairment
dexamethasone,non-hodgkin's lymphoma
conjugated,genital haemorrhage
paroxetine,mood swings
fentanyl,respiratory failure
deferiprone,thalassaemia beta
octreotide,paraesthesia
diclofenac,injury
sertraline,anger
ropinirole,agitation
sertraline,myalgia
temozolomide,glioblastoma multiforme
prednisone,connective tissue disorder
photofrin,neoplasm
doxepin,depression
atomoxetine,attention deficit/hyperactivity disorder
imiquimod,hyperkeratosis
leuprorelin,precocious puberty
vinorelbine,cervix carcinoma
meropenem,convulsion
pemetrexed,pleural mesothelioma malignant
losartan,cough
methylprednisolone,alopecia areata
fluoxetine,anger
ly146032,pneumonia
gentamicin,keratitis
baclofen,muscle spasms
methotrexate,drug interaction
fluoxetine,compulsions
lutalyse,abortion missed
dacarbazine,malignant neoplasm of islets of langerhans
moexiprilat,nephropathy
mitoxantrone,hepatic function abnormal
haloperidol,affect lability
morphine,renal colic
ketorolac,hypersensitivity
cosyntropin,addison's disease
bupropion,agitation
progesterone,hepatocellular injury
nifedipine,diabetic nephropathy
midazolam,memory impairment
fosinopril,renal failure
oxycodone,cancer pain
doxorubicin,squamous cell carcinoma
fluoxetine,malaise
v,transplant rejection
ofloxacin,infection
propranolol,diabetic nephropathy
paroxetine,dysphoria
losartan,type 2 diabetes mellitus
iloperidone,schizophrenia
topiramate,grand mal convulsion
duloxetine,suicide attempt
risperidone,nephropathy
venlafaxine,phobia
diclofenac,hepatic function abnormal
mirtazapine,asthenia
conjugated,hyperhidrosis
amoxicillin,renal failure
5-azacytidine,acute leukaemia
irbesartan,essential hypertension
varenicline,chronic obstructive pulmonary disease
desmopressin,nocturia
tamsulosin,lower urinary tract symptoms
clomipramine,affective disorder
demethyl,loeffler's syndrome
bisoprolol,hypertension
bromocriptine,nausea
l-dmp,agoraphobia
estradiol,metastatic neoplasm
etodolac,diabetes mellitus
ribavirin,cor pulmonale
cortisol,hypoplastic anaemia
methotrexate,burkitt's lymphoma
buspirone,tension
mirtazapine,suicidal ideation
fluoxetine,emotional distress
roflumilast,chronic obstructive pulmonary disease
captopril,left ventricular dysfunction
cetirizine,urticaria chronic
5-fu,seborrhoeic keratosis
etidronate,bone disorder
8-mop,photosensitivity reaction
fosinopril,cardiac failure
lidocaine,myocardial infarction
moxifloxacin,diabetic foot infection
oestrogen,ovarian failure
paroxetine,dyskinesia
cortisol,pulmonary eosinophilia
diazepam,agitation
liraglutide,pancreatitis necrotising
sertraline,tremor
acyclovir,congenital herpes simplex infection
cortisol,trichiniasis
clomiphene,endometriosis
citalopram,suicidal behaviour
methylprednisolone,sarcoidosis
methylprednisolone,conjunctivitis allergic
posaconazole,palpitations
salbutamol,reversible airways obstruction
prochlorperazine,vomiting
5-fluorocytosine,infection
pindolol,tachycardia paroxysmal
fluphenazine,coma
metronidazole,papule
duloxetine,hypersomnia
diazepam,sleep terror
prednisolone,punctate keratitis
lidocaine,bladder pain
atorvastatin,cardiovascular disorder
cortisol,adrenal insufficiency
itraconazole,onychomycosis
rabeprazole,dyspepsia
ibuprofen,oropharyngeal discomfort
isosorbide-5-mononitrate,acute coronary syndrome
sorafenib,atrial fibrillation
medroxyprogesterone,unintended pregnancy
vinorelbine,cardiovascular disorder
penicillin,endocarditis
sulfadiazine,malaria
ropinirole,immobile
quetiapine,neutropenia
cephalexin,respiratory tract infection
nitrazepam,sleep disorder
methadone,pain
atenolol,angina pectoris
gemcitabine,mesothelioma
tacrolimus,hypertension
acetaminophen,oropharyngeal pain
humalog,blood glucose normal
amlodipine,hypertension
cortisol,pulmonary tuberculosis
morphine,colitis ulcerative
ketorolac,haemoglobin
felbamate,partial seizures
prednisone,bursitis
lovastatin,arteriosclerosis
lovastatin,hypertension
methylphenidate,hyperkinesia
hydrocortisone,eczema
rabeprazole,infection
olanzapine,bipolar disorder
ciprofloxacin,cystitis
iodixanol,pinealoma
zoledronic,osteoporosis postmenopausal
dexamethasone,arteritis
warfarin,cardiac failure congestive
cortisol,herpes zoster
atenolol,hypotension
trovafloxacin,infection
triamcinolone,alopecia areata
ketorolac,renal failure
aztreonam,nephropathy toxic
cimetidine,systemic mastocytosis
moxifloxacin,overgrowth bacterial
cerivastatin,diabetes mellitus
prednisone,epicondylitis
efavirenz,hepatocellular injury
norfloxacin,staphylococcal infection
progesterone,oropharyngeal discomfort
demethyl,tuberculosis
cosyntropin,proctocolitis
minoxidil,fluid retention
meropenem,renal failure
olanzapine,bipolar i disorder
prednisone,haemolytic anaemia
bicarbonate,lactic acidosis
amiloride,polyuria
atorvastatin,weight decreased
vincristine,osteosarcoma
olanzapine,schizoaffective disorder
azelastine,vasomotor rhinitis
paroxetine,dyspnoea
clomipramine,parkinson's disease
zidovudine/lamivudine,pancreatitis
fluvoxamine,depression
methylprednisolone,serum sickness
prednisone,hypercalcaemia
gatifloxacin,cystitis
silver,burns third degree
rofecoxib,migraine
metronidazole,bacteraemia
amphotericin,meningitis cryptococcal
5-asa,inflammatory bowel disease
sodium,gastrointestinal pain
pantoprazole,peptic ulcer
ge-132,neoplasm
cetirizine,nasopharyngitis
irbesartan,renal vessel disorder
ifosfamide,cervix carcinoma
paroxetine,insomnia
metronidazole,abscess
methylprednisolone,neoplasm
buprenorphine,therapy naive
propranolol,supraventricular tachycardia
sotalol,arrhythmia
everolimus,cerebrosclerosis
ofloxacin,pyelonephritis acute
amlodipine,angina pectoris
atropine,seasonal allergy
fenofibrate,hypertriglyceridaemia
paroxetine,derealisation
propantheline,peptic ulcer
alprazolam,palpitations
l-dmp,asthenia
lanreotide,hypersensitivity
meropenem,bacteraemia
epinephrine,cardiac arrest
deferoxamine,hepatic fibrosis
levosimendan,cardiac failure chronic
pomalidomide,plasmacytoma
isopropyl,open angle glaucoma
riluzole,amyotrophic lateral sclerosis
nifedipine,tension
acyclovir,varicella
a77,hyperlipidaemia
sodium,thermal burn
imiquimod,basal cell carcinoma
cyclobenzaprine,cerebral palsy
dorzolamide,hepatocellular injury
prednisone,alkalosis hypokalaemic
prilocaine,convulsion
bleomycin,renal impairment
letrozole,renal impairment
diclofenac,effusion
isoproterenol,atrioventricular block
citalopram,akathisia
lamotrigine,bipolar disorder
losartan,dilatation ventricular
oestrogen,uterine haemorrhage
prednisone,acute leukaemia
nitrogen,polycythaemia vera
risperidone,renal failure
ciprofloxacin,bladder pain
fluoxetine,obsessive-compulsive disorder
venlafaxine,abdominal discomfort
sertraline,menopausal symptoms
vandetanib,medullary thyroid cancer
fluticasone,rhinitis allergic
hydroxyzine,neurosis
cefprozil,influenza
lovastatin,hypothyroidism
moxifloxacin,infection
dexamethasone,nephropathy
ribavirin,hepatocellular injury
nefazodone,depressed mood
sodium,vulvovaginal candidiasis
cetirizine,lacrimation increased
carboplatin,leukaemia
famotidine,oral herpes
mefenamic,menorrhagia
raltegravir,mental disorder
doxorubicin,immunodeficiency
pioglitazone,carcinogenicity
chlorpromazine,hiccups
prednisone,pulmonary eosinophilia
conjugated,blood oestrogen decreased
omeprazole,abdominal pain upper
hydroxocobalamin,anaemia
etoposide,testicular neoplasm
udca,liver disorder
bezafibrate,combined hyperlipidaemia
valproate,hostility
paroxetine,partner stress
amphetamine,decreased appetite
paroxetine,chills
niacin,gout
balsalazide,proctocolitis
etoricoxib,gouty arthritis
triamcinolone,stevens-johnson syndrome
risedronate,osteoporosis
phenobarbital,haemoglobin
duloxetine,dysthymic disorder
ramipril,proteinuria
liraglutide,diabetic ketoacidosis
budesonide,rhinitis
dexamethasone,alopecia areata
ciprofloxacin,blepharitis
k779,hepatocellular injury
l-dmp,bradyphrenia
cyclophosphamide,hodgkin's disease
cyclophosphamide,sarcoma
bupivacaine,hepatocellular injury
hydroxocobalamin,crohn's disease
azathioprine,hepatitis chronic active
sertraline,fear
benicar-hct,hypertension
captopril,cardiac failure congestive
pimozide,tourette's disorder
capecitabine,colorectal cancer metastatic
ogen,weight increased
asenapine,schizophrenia
octreotide,acromegaly
doxycycline,sinusitis
venlafaxine,fatigue
epinephrine,angina pectoris
fluoxetine,weight increased
itraconazole,hepatocellular injury
progesterone,abdominal pain
fluvoxamine,renal failure
carvedilol,angina pectoris
sildenafil,spinal cord injury
ceftriaxone,pneumonia
tapentadol,neuralgia
pravastatin,disease progression
budesonide,asthma
azithromycin,bacteraemia
amphotericin,vulvovaginal candidiasis
vinorelbine,inappropriate antidiuretic hormone secretion
amphetamine,psychotic disorder
furosemide,nephritic syndrome
dextran,shock
diclofenac,pulmonary function test decreased
ofloxacin,tendon rupture
benazepril,renal artery stenosis
trifluoperazine,hallucination
tamoxifen,deep vein thrombosis
bupropion,bradyphrenia
lamotrigine,renal impairment
metoprolol,obstructive airways disorder
clonazepam,grand mal convulsion
naproxen,tendonitis
ifosfamide,menorrhagia
deferasirox,thalassaemia
ciprofloxacin,pyelonephritis
methylprednisolone,cutaneous lupus erythematosus
lisinopril,renovascular hypertension
oxybutynin,skin sensitisation
fosinopril,pregnancy
morphine,sedation
fondaparinux,cardiac failure
ofloxacin,otitis externa
busulfan,disease recurrence
sodium,mental disorder
sildenafil,hypotonia
pentosan,cystitis interstitial
paroxetine,haemorrhagic disorder
pantoprazole,odynophagia
varenicline,cardiovascular disorder
indomethacin,osteoarthritis
sertraline,bradyphrenia
progesterone,diplopia
cyclophosphamide,diffuse large b-cell lymphoma
ibuprofen,oropharyngeal pain
oxcarbazepine,epilepsy
dihydroergotamine,feeling cold
darifenacin,nocturia
l-dmp,menopausal symptoms
ofloxacin,pyoderma
pamidronate,hypovolaemia
doxorubicin,acute myeloid leukaemia
verapamil,asthma
cortisone,rhinitis perennial
westcort,dermatitis atopic
l-dmp,hyperhidrosis
tamoxifen,neoplasm
methylprednisolone,anaemia
epinephrine,seasonal allergy
epinephrine,arthropod sting
atorvastatin,dyslipidaemia
cyclophosphamide,plasma cell myeloma
tigecycline,diabetes mellitus
pindolol,supraventricular extrasystoles
tobramycin,tracheobronchitis
carbamazepine,facial pain
clindamycin,empyema
doxycycline,staphylococcal infection
cortisol,drug hypersensitivity
progesterone,affect lability
betaxolol,glaucoma
methylprednisolone,juvenile idiopathic arthritis
estradiol,dyspareunia
ramipril,microalbuminuria
clemastine,lacrimation increased
mersyndol,headache
ciprofloxacin,soft tissue infection
metronidazole,tubo-ovarian abscess
bosutinib,cardiovascular disorder
metoprolol,renal failure chronic
carbamazepine,grand mal convulsion
amcinonide,psoriasis
posaconazole,acute myeloid leukaemia
clindamycin,furuncle
cefaclor,bacterial infection
atropine,mydriasis
imiquimod,immunodeficiency
clozapine,myocarditis
ciprofloxacin,dysentery
medroxyprogesterone,uterine cancer
albendazole,cyst
azelaic,rash pustular
bexarotene,mycosis fungoides
prochlorperazine,schizophrenia
l-dmp,nausea
ciprofloxacin,pneumonia
vincristine,mycosis fungoides
tazarotene,skin wrinkling
flutamide,metastatic neoplasm
pamidronate,plasmacytoma
gd-dtpa,schwannoma
carbamazepine,atonic seizures
cefaclor,sinusitis bacterial
vincristine,lymphoma
alprazolam,tension
tobramycin,cystitis noninfective
cephem,infection
irbesartan,foetor hepaticus
cortisol,secondary adrenocortical insufficiency
carvedilol,renal vessel disorder
nifedipine,transient ischaemic attack
anthracycline,kaposi's sarcoma
atropine,paralysis
prednisone,polymyositis
vincristine,cervix carcinoma
ofloxacin,tendonitis
tinidazole,infection
propericiazine,anxiety
vinblastine,neoplasm malignant
prednisolone,hypersensitivity
ibuprofen,ulcer
octreotide,carcinoid tumour
trimethoprim-sulfamethoxazole,urinary tract infection
everolimus,renal impairment
rivastigmine,parkinson's disease
doxorubicin,cardiotoxicity
ponatinib,diabetes mellitus
chlorpromazine,schizophrenia
meloxicam,cerebrovascular accident
doxorubicin,metastasis
sertraline,affect lability
trifluoperazine,senile psychosis
methotrexate,lymphocytic leukaemia
adefovir,hepatitis b
sertraline,hot flush
iodixanol,pituitary tumour benign
dantrolene,muscle rigidity
phenobarbital,haemorrhage
prednisolone,synovitis
ketoprofen,dysmenorrhoea
docetaxel,prostate cancer
reserpine,schizophrenia
azithromycin,pharyngitis
droperidol,bipolar i disorder
mometasone,skin exfoliation
doxycycline,meningitis
azithromycin,lower respiratory tract infection
paclitaxel,syncope
medroxyprogesterone,cardiac disorder
topiramate,partial seizures
ixabepilone,neoplasm malignant
sertraline,asthenia
dexamethasone,injury
losartan,proteinuria
famotidine,grand mal convulsion
lisinopril,cardiac failure high output
flecainide,supraventricular tachycardia
tranylcypromine,sexual dysfunction
cortisone,hypersensitivity
alprazolam,phobia
medroxyprogesterone,tenderness
allopurinol,hyperuricaemia
medroxyprogesterone,angiopathy
sumatriptan,hypertension
sulfasalazine,haemorrhage
progesterone,confusional state
lasofoxifene,fracture
vacv,genital herpes
bosentan,pulmonary arterial hypertension
esmolol,tachycardia
metronidazole,sexually transmitted disease
methylprednisolone,pemphigus
testosterone,orchitis
carbamazepine,polydipsia
diazepam,body temperature increased
amiloride,blood sodium increased
acetazolamide,angle closure glaucoma
morphine,injury
fusidic,eye infection bacterial
ofloxacin,prostatitis
tiopronin,cystine urine
famotidine,ulcer
diclofenac,salpingo-oophoritis
fluticasone,dermatitis atopic
cisplatin,testicular neoplasm
methylprednisolone,meningitis
triamcinolone,dermatitis bullous
prednisone,demyelinating polyneuropathy
fluticasone,discomfort
stalevo,parkinson's disease
mirtazapine,disturbance in attention
acitretin,psoriasis
aripiprazole,jaundice
triptorelin,urinary tract obstruction
desmopressin,von willebrand's disease
cas,myocardial infarction
ibuprofen,dysmenorrhoea
prochlorperazine,nausea
celecoxib,inflammation
medroxyprogesterone,oestrogenic effect
dexamethasone,cushing's syndrome
modafinil,cataplexy
minocycline,folliculitis
medroxyprogesterone,thrombophlebitis
valproate,pregnancy
v,rheumatoid arthritis
nevirapine,acquired immunodeficiency syndrome
clobetasol,eczema
adenosine,wolff-parkinson-white syndrome
docetaxel,prostate cancer metastatic
irbesartan,rebound effect
dihydroergotamine,prinzmetal angina
fp-cit,multiple system atrophy
norethisterone,unintended pregnancy
morphine,cardiac disorder
bortezomib,neuropathy peripheral
citalopram,agitation
paroxetine,post-traumatic stress disorder
oxaliplatin,dehydration
tramadol,procedural pain
demethyl,ankylosing spondylitis
nitroglycerin,cardiac failure congestive
indapamide,anuria
cyclophosphamide,acute myeloid leukaemia
loratadine,hypersensitivity
famotidine,diarrhoea
disopyramide,acute coronary syndrome
fluphenazine,cerebral arteriosclerosis
paclitaxel,acute leukaemia
rabeprazole,gastrooesophageal reflux disease
nicotine,endocrine disorder
metoprolol,palpitations
dexamethasone,solar dermatitis
amiodarone,asthma
methylprednisolone,idiopathic thrombocytopenic purpura
fluoxetine,hepatocellular injury
mycophenolate,cytomegalovirus viraemia
penicillin,anthrax
dexamethasone,acute respiratory distress syndrome
epinephrine,bronchospasm
ecallantide,hereditary angioedema
penicillin,pasteurella infection
doxorubicin,bladder transitional cell carcinoma metastatic
ganciclovir,autoimmune disorder
carbamazepine,bipolar disorder
demethyl,iritis
imiquimod,viral infection
nifedipine,hypertension
lovastatin,blood triglycerides normal
dexamethasone,neoplasm malignant
moxifloxacin,respiratory tract infection
atropine,cholinergic syndrome
clopidogrel,infarction
dabrafenib,malignant melanoma
nicotine,peripheral vascular disorder
atropine,poisoning
sertraline,sexual dysfunction
ketoprofen,ligament sprain
prednisolone,dermatitis atopic
lovastatin,type iia hyperlipidaemia
indomethacin,musculoskeletal disorder
paroxetine,agoraphobia
leuprorelin,pituitary tumour benign
demethyl,optic neuritis
ciclopirox,body tinea
dexamethasone,adrenal insufficiency
chlorambucil,hodgkin's disease
salmon,osteopenia
ceftazidime,cellulitis
conjugated,hot flush
doxorubicin,non-small cell lung cancer
cosyntropin,rheumatic disorder
insulin,shock
dexamethasone,systemic lupus erythematosus
doxepin,cardiac failure congestive
l-dmp,panic disorder
amiodarone,wolff-parkinson-white syndrome
methylprednisolone,arthritis
triamcinolone,brain oedema
bezafibrate,infarction
lenalidomide,mantle cell lymphoma
desmopressin,diabetes insipidus
topiramate,liver disorder
l-dmp,sexual dysfunction
linezolid,osteomyelitis
atropine,acute myocardial infarction
baclofen,muscle rigidity
haloperidol,schizophrenia
metrodin,anovulatory cycle
tacrolimus,dermatitis atopic
conjugated,lichen sclerosus
ceftazidime,cystic fibrosis
valproate,hyperammonaemic encephalopathy
vigabatrin,convulsion
gabapentin,diabetic neuropathy
lamivudine,infection
ketorolac,renal impairment
lamotrigine,grand mal convulsion
ramiprilat,angina pectoris
insulin,abdominal pain upper
sertraline,anxiety
sertraline,obsessive-compulsive disorder
k779,hepatitis
su5416,haemoglobin
leuprorelin,breast cancer
amsacrine,leukaemia
8-mop,myocardial ischaemia
cisplatin,squamous cell carcinoma
fluoxetine,breast tenderness
cortisol,adrenocortical insufficiency acute
pravastatin,hyperlipidaemia
fluvoxamine,major depression
k779,hairy cell leukaemia
clomipramine,senile dementia
alprazolam,hyperkinesia
triamcinolone,epicondylitis
bupivacaine,vasodilation procedure
irbesartan,renal failure
sertraline,fatigue
pindolol,arrhythmia
temozolomide,neoplasm malignant
topiramate,renal impairment
k779,splenomegaly
eslicarbazepine,corynebacterium infection
implanon,unintended pregnancy
estradiol,breast feeding
amphotericin,acquired immunodeficiency syndrome
glibenclamide,ketosis
ibuprofen,bursitis
vincristine,small cell lung cancer
pindolol,supraventricular tachycardia
photofrin,oesophageal obstruction
piroxicam,ligament sprain
thalidomide,plasmacytoma
tapentadol,back pain
dexamethasone,osteoarthritis
minocycline,chancroid
clomiphene,infertility male
benzathine,rheumatic heart disease
itraconazole,tinea pedis
perampanel,epilepsy
phenytoin,drug interaction
pemetrexed,non-small cell lung cancer
timolol,glaucoma
progesterone,breast tenderness
demethyl,pulmonary eosinophilia
hydroxocobalamin,diphyllobothriasis
varenicline,schizoaffective disorder
chlorpropamide,type 2 diabetes mellitus
pamidronate,plasma cell myeloma
norfloxacin,gastrointestinal infection
acetaminophen,myalgia
brimonidine,erythema
doxycycline,pharyngitis
nelarabine,acute lymphocytic leukaemia
doxycycline,typhus
deferasirox,blood creatinine increased
gemcitabine,alcoholism
sildenafil,heart disease congenital
triamcinolone,colitis
fluvoxamine,hepatocellular injury
estradiol,osteoporotic fracture
benazeprilat,renal artery stenosis
diclofenac,procedural pain
paricalcitol,renal impairment
cerivastatin,high density lipoprotein decreased
flurbiprofen,inflammation
clodronate,hypercalcaemia of malignancy
cladribine,hairy cell leukaemia
ibuprofen,procedural pain
foscarnet,acquired immunodeficiency syndrome
iotrolan,renal failure
fluvoxamine,dysthymic disorder
lamivudine,pancreatitis
atropine,cycloplegia
clonidine,essential hypertension
paroxetine,depersonalisation
almotriptan,migraine
glucose,hyponatraemia
topiramate,epilepsy
busulfan,non-hodgkin's lymphoma
bupropion,convulsion
mitomycin,neoplasm malignant
udca,fibrocystic breast disease
loratadine,eye pruritus
thymidine,infection
fluoxetine,feeling guilty
nitrofurantoin,cystitis noninfective
tacrolimus,liver transplant rejection
prednisolone,oedema
5-aminolevulinic,actinic keratosis
diclofenac,rheumatoid arthritis
minocycline,pyoderma
doxycycline,upper respiratory tract infection
cortisone,endocrine disorder
doxycycline,cervicitis
hydroxychloroquine,plasmodium malariae infection
cimetidine,gastric ulcer
sildenafil,diabetes mellitus
fentanyl,breakthrough pain
ganciclovir,retinitis
deferoxamine,aluminium overload
nabilone,vomiting
fluoxetine,disturbance in attention
everolimus,insulinoma
desloratadine,rhinitis perennial
atorvastatin,alcohol abuse
simvastatin,hypertension
iodixanol,arterial occlusive disease
flurbiprofen,leukocytosis
dexamethasone,inflammation
verteporfin,pathologic myopia
metolazone,liver disorder
sulindac,pain
demethyl,psoriatic arthropathy
naltrexone,drug dependence
ramiprilat,renal impairment
cortisone,proctocolitis
mirtazapine,insomnia
topiramate,foetor hepaticus
fentanyl,major depression
paroxetine,depressed mood
dexrazoxane,extravasation
lurasidone,schizophrenia
triamcinolone,non-hodgkin's lymphoma
allopurinol,nephrolithiasis
pep005,hyperkeratosis
ceftazidime,bacteraemia
fluticasone,nasopharyngitis
naproxen,osteoarthritis
paroxetine,anger
fluvastatin,carotid artery disease
ziprasidone,bipolar i disorder
lovastatin,hypercholesterolaemia
bupivacaine,agitation
fenofibrate,coronary artery disease
capecitabine,colorectal cancer
alprazolam,choking sensation
prednisone,polyarteritis nodosa
cefaclor,rheumatic disorder
scopolamine,nausea
clarithromycin,otitis media
epinephrine,convulsion
fluorescein,injury corneal
chlorpromazine,hyperkinesia
meropenem,meningitis
methylprednisolone,acute leukaemia
meloxicam,arthritis
memantine,mental disorder due to a general medical condition
fluoxetine,obsessive rumination
dabrafenib,pneumonia
citalopram,dementia alzheimer's type
tacrolimus,hepatitis c virus test positive
epinephrine,angioedema
methylprednisolone,granuloma annulare
lurasidone,bipolar disorder
clomiphene,ovarian failure
azithromycin,genital ulceration
cefepime,neutropenia
morphine,somnolence
chlorambucil,hodgkin's disease lymphocyte predominance type stage unspecified
mirtazapine,dysphoria
sunitinib,hypothyroidism
modafinil,sleep apnoea syndrome
monomycin,gonorrhoea
mersyndol,tension headache
alfentanil,miosis
fluvoxamine,performance fear
leuprorelin,haematuria
gentamicin,skin disorder
oxycodone,procedural pain
nefazodone,drug abuse
venlafaxine,sleep disorder
hydroxocobalamin,hyperventilation
alprazolam,hypoaesthesia
clomipramine,personality disorder
tenoxicam,periarthritis
celecoxib,intestinal polyp
prostacyclin,connective tissue disorder
busulfan,hodgkin's disease lymphocyte predominance type stage unspecified
alprazolam,sensory loss
pamidronate,urine output
chlorpheniramine,skin disorder
tenoxicam,gout
methylprednisolone,gastrointestinal disorder
ipratropium,emphysema
bosentan,pulmonary hypertension
ketorolac,pain
trazodone,dysphoria
metoclopramide,gastric atony
olanzapine,dementia
venlafaxine,asthenia
clarithromycin,pneumonia mycoplasmal
v,glomerulonephritis minimal lesion
diphenhydramine,urticaria
sertraline,mental disability
rescinnamine,erythema
prednisolone,polymyositis
anastrozole,angioedema
salmon,neoplasm malignant
morphine,acute pulmonary oedema
chlorhexidine,gingivitis ulcerative
fluvastatin,alcoholism
progesterone,pulmonary embolism
paclitaxel,urticaria
carvedilol,acute coronary syndrome
ofloxacin,pneumonia
thiabendazole,eosinophilia
cytarabine,blast cell crisis
ribavirin,viral infection
metronidazole,amoebiasis
acyclovir,post herpetic neuralgia
omeprazole,adenoma benign
nifedipine,gastrointestinal disorder
doxepin,bipolar i disorder
cyproterone,alopecia
triamcinolone,seasonal allergy
melphalan,rhabdomyosarcoma
fludrocortisone,secondary adrenocortical insufficiency
ly146032,soft tissue infection
lisinopril,diabetes mellitus
tobramycin,meningitis
clindamycin,vaginal inflammation
gemfibrozil,hypertriglyceridaemia
k779,foetor hepaticus
diltiazem,hypertension
dipyridamole,embolism
diclofenac,inflammation
chlorthalidone,hypertension
salmon,renal cancer
telithromycin,bronchitis
indomethacin,multiple fractures
topiramate,drug interaction
furosemide,cardiac failure congestive
octreotide,hyperhidrosis
docetaxel,squamous cell carcinoma of head and neck
fentanyl,substance abuse
ciprofloxacin,ulcerative keratitis
furosemide,intercapillary glomerulosclerosis
amphetamine,narcolepsy
eslicarbazepine,tetanus
methylprednisolone,proteinuria
latanoprost,asthma
sumatriptan,nausea
cefuroxime,pneumonia
fentanyl,hypotension
paroxetine,social fear
epinephrine,syncope
dorzolamide,calculus urinary
dolasetron,cardiovascular disorder
bcnu,hodgkin's disease lymphocyte predominance type stage unspecified
secobarbital,insomnia
busulfan,venoocclusive liver disease
letrozole,neoplasm
omeprazole,gastric ulcer
promethazine,measles
etoposide,ewing's sarcoma
morphine,antitussive therapy
thiazide,pre-eclampsia
alprazolam,panic attack
bortezomib,plasma cell myeloma
8-mop,dermatitis atopic
efavirenz,rash
gadoversetamide,renal failure
fluconazole,oropharyngeal candidiasis
ustekinumab,psoriatic arthropathy
ciprofloxacin,gonorrhoea
dalteparin,haemorrhage
etoposide,neutropenia
icodextrin,renal failure chronic
acetaminophen,arthritis
trandolapril,acute myocardial infarction
benzathine,rheumatic disorder
buspirone,pallor
prochlorperazine,vertigo
nifedipine,renal failure
niacin,abdominal pain
ketoconazole,histoplasmosis
verapamil,cardiac disorder
prednisone,hepatocellular injury
testosterone,disturbance in sexual arousal
pge2,microsomia
moxifloxacin,sinusitis
paclitaxel,neoplasm malignant
trandolapril,essential hypertension
gemfibrozil,weight decreased
zoledronic,plasmacytoma
metformin,coma
paliperidone,cardiac disorder
risperidone,poverty of speech
acyclovir,herpes zoster
droperidol,vomiting
dexamethasone,inflammatory bowel disease
cortisone,meningitis tuberculous
idarubicin,arrhythmia
ibandronate,neoplasm
diazepam,myoclonus
valdecoxib,rheumatoid arthritis
itraconazole,streptobacillary fever
paliperidone,carcinogenicity
atorvastatin,blood triglycerides increased
candesartan,hypertension
l-dmp,disturbance in attention
letrozole,liver disorder
medroxyprogesterone,myocardial infarction
irinotecan,metastatic neoplasm
fentanyl,bradycardia
dabrafenib,metastatic malignant melanoma
aztreonam,cystic fibrosis
celecoxib,adenomatous polyposis coli
simvastatin,blood triglycerides increased
clozapine,neutropenia
procainamide,ventricular tachycardia
cortisone,inflammation
clindamycin,abdominal infection
triamcinolone,lichen planus
k779,hepatic encephalopathy
carboprost,pregnancy
clonazepam,myoclonic epilepsy
cefditoren,renal failure
sodium,coma
doxepin,tension
carbamazepine,epilepsy
cefaclor,rheumatic fever
metoprolol,ventricular extrasystoles
paroxetine,mental disability
brimonidine,glaucoma
rofecoxib,cluster headache
ertapenem,renal failure
conjugated,osteoporosis postmenopausal
furosemide,brain oedema
"1,25(oh)2d3",brown tumour
trospium,pollakiuria
iotrolan,contrast media reaction
pazopanib,sarcoma
perindopril,essential hypertension
alprazolam,completed suicide
clonidine,psychotic disorder
lovastatin,cerebrovascular accident
histamine,skin test positive
trans,cardiac failure congestive
